City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Wharton,US,78.78,Broken Clouds,29.3116,-96.1027,"Countryside Inn Wharton, Tx"
444,Touros,BR,83.03,Broken Clouds,-5.1989,-35.4608,Inn New Horizon
445,Acarau,BR,85.5,Clear Sky,-2.8856,-40.12,Castelo Pizzaria
446,Balabac,PH,82.62,Overcast Clouds,7.9868,117.0645,Batalla’S Lodging House
447,Sambava,MG,80.02,Few Clouds,-14.2667,50.1667,Melrose
448,Stephenville,US,76.15,Clear Sky,32.2207,-98.2023,La Quinta Inn & Suites By Wyndham Stephenville
449,San Cristobal,VE,77.18,Overcast Clouds,7.7669,-72.225,Pirineos
454,Alofi,NU,80.49,Overcast Clouds,-19.0595,-169.9187,Taloa Heights
456,Pochutla,MX,80.82,Overcast Clouds,15.7432,-96.4661,Hotel Posada San Jose
463,Maragogi,BR,83.64,Scattered Clouds,-9.0122,-35.2225,Salinas Do Maragogi All Inclusive Resort
470,Xuddur,SO,85.89,Overcast Clouds,4.1213,43.8894,Banjanay Hotel
472,Novo Aripuana,BR,77.23,Overcast Clouds,-5.1206,-60.3797,Hotel Ezequiel
473,Celestun,MX,79.88,Few Clouds,20.8667,-90.4,Posada Lilia
491,Nouakchott,MR,78.73,Scattered Clouds,18.0858,-15.9785,Hotel Iman
493,Rurrenabaque,BO,83.89,Few Clouds,-14.4413,-67.5278,Casa De Campo
496,Bangkalan,ID,84.15,Overcast Clouds,-7.0455,112.7351,Spot On 2591 Griya Demangan Syariah
504,Kapit,MY,75.67,Overcast Clouds,2.0167,112.9333,Hotel Meligai Kapit
512,Pailitas,CO,80.51,Overcast Clouds,8.9565,-73.6255,Hotel Jecenter
521,Khlung,TH,82.11,Overcast Clouds,12.4547,102.2214,Bai Phai Resort
522,Palm Coast,US,81.09,Clear Sky,29.585,-81.2078,Hammock Beach Golf Resort & Spa
530,Kudahuvadhoo,MV,85.44,Overcast Clouds,2.6708,72.8944,Niyama Private Islands Maldives
540,Barra,BR,86.74,Few Clouds,-11.0894,-43.1417,Motel Albatroz
541,Mabaruma,GY,83.32,Broken Clouds,8.2,-59.7833,Monty Brooms Guest House
545,Nha Trang,VN,80.6,Overcast Clouds,12.25,109.1833,Hanoi Golden Hotel
547,Ormara,PK,83.46,Clear Sky,25.2088,64.6357,Kenara Colony House For Rent
556,Ambilobe,MG,76.21,Light Rain,-13.2,49.05,Hôtel & Restaurant Diana Ambilobe
558,Itaituba,BR,84.36,Scattered Clouds,-4.2761,-55.9836,Hotel Campos
560,Shwebo,MM,84.81,Broken Clouds,22.5667,95.7,Moon Shine Guest House
561,Cabinda,AO,86.14,Few Clouds,-5.55,12.2,Hotel Maiombe
567,Topchanchi,IN,82.31,Few Clouds,23.9,86.2,Shaan-E-Punjab Hotel - Restaurant | Hotel In Topchachi Dhanbad
570,Carutapera,BR,82.81,Overcast Clouds,-1.195,-46.02,Lidera
576,Buala,SB,80.53,Broken Clouds,-8.145,159.5921,Maringe Lagoon Lodge
584,Cap Malheureux,MU,78.48,Clear Sky,-19.9842,57.6142,Pereybere Hotel & Spa
587,Grand-Santi,GF,85.15,Overcast Clouds,4.25,-54.3833,Hotel La Villa Couacou
589,Odweyne,SO,78.39,Light Rain,9.4092,45.064,Eng Hiirey House
591,Guarapari,BR,87.89,Clear Sky,-20.6667,-40.4975,Hotel Porto Do Sol
600,Mahibadhoo,MV,85.42,Broken Clouds,3.7833,72.9667,Omadhoo Inn
602,Chardara,KZ,76.84,Overcast Clouds,41.2547,67.9692,Жанаргул
604,Kavieng,PG,83.21,Light Rain,-2.5744,150.7967,Nusa Island Retreat
608,Sao Caetano De Odivelas,BR,80.19,Overcast Clouds,-0.75,-48.02,Hotel Do Luttis
612,Tallahassee,US,79.32,Scattered Clouds,30.4383,-84.2807,Four Points By Sheraton Tallahassee Downtown
614,Prainha,BR,81.64,Overcast Clouds,-1.8,-53.48,Casa Rocha
617,Neiafu,TO,79.48,Light Rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
624,Santa Isabel Do Rio Negro,BR,87.94,Scattered Clouds,-0.4139,-65.0192,Hotel Gsa
627,Porciuncula,BR,85.28,Clear Sky,-20.9628,-42.0408,Pousada Cordeiro
629,Keti Bandar,PK,83.43,Clear Sky,24.1447,67.4497,Haji Laloo Memon House
634,Mutis,CO,83.97,Overcast Clouds,6.2262,-77.4044,Paraiso Escondido
636,Winder,US,76.53,Clear Sky,33.9926,-83.7202,Jameson Inn Winder
638,Omboue,GA,79.75,Overcast Clouds,-1.5746,9.2618,Hotel Olako
646,Tomatlan,MX,80.11,Broken Clouds,19.9333,-105.25,El Salvial
660,Bam,IR,87.57,Few Clouds,29.106,58.357,Bam Tourist Hotel
662,Bubaque,GW,78.85,Scattered Clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
663,Aloleng,PH,82.74,Scattered Clouds,16.1307,119.7824,Steve Walden And Emma Sison-Walden Residence
664,Nouadhibou,MR,76.98,Dust,20.931,-17.0347,El Medina
668,Karaton,ID,75.54,Moderate Rain,-6.3424,106.1045,Parkir Mobil Wisata Cas Water Park
673,El Molino,CO,81.01,Overcast Clouds,10.6523,-72.924,El Portal
679,Vao,NC,75.51,Few Clouds,-22.6667,167.4833,Hotel Kou-Bugny
680,Banjar,ID,78.82,Overcast Clouds,-8.19,114.9675,The Hamsa Resort
