City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Port Elizabeth,ZA,2022-05-01 11:29:42,-33.918,25.5701,77.09,48,0,17.27
140,Kavieng,PG,2022-05-01 11:29:43,-2.5744,150.7967,82.76,72,27,5.32
141,Sehithwa,BW,2022-05-01 11:29:44,-20.4667,22.7167,86.76,20,4,5.91
142,Hirara,JP,2022-05-01 11:28:11,24.8,125.2833,68.27,94,75,17.27
143,Broome,US,2022-05-01 11:30:45,42.2506,-75.833,43.36,70,0,3.44
144,Jamestown,US,2022-05-01 11:27:19,42.097,-79.2353,51.39,34,100,9.22
145,Jinchang,CN,2022-05-01 11:30:47,38.4953,102.1739,56.84,15,12,9.64
146,Hokitika,NZ,2022-05-01 11:30:48,-42.7167,170.9667,59.18,90,100,0.63
147,Touros,BR,2022-05-01 11:30:49,-5.1989,-35.4608,84.92,68,94,16.49
148,Lebu,CL,2022-05-01 11:27:29,-37.6167,-73.65,49.03,84,79,13.2
149,Victoria,HK,2022-05-01 11:28:40,22.2855,114.1577,66.33,92,100,11.99
150,Humaita,BR,2022-05-01 11:27:21,-7.5061,-63.0208,73.44,96,54,1.19
151,Erode,IN,2022-05-01 11:27:16,11.35,77.7333,104.52,20,20,3.38
152,Bethel,US,2022-05-01 11:30:55,41.3712,-73.414,49.95,68,0,0.0
153,Soyo,AO,2022-05-01 11:30:57,-6.1349,12.3689,82.47,78,53,8.39
154,Solnechnyy,RU,2022-05-01 11:30:58,50.7214,136.6319,29.59,94,83,4.68
155,Saint-Pierre,RE,2022-05-01 11:30:59,-21.3393,55.4781,83.88,69,0,8.05
156,Messina,IT,2022-05-01 11:31:00,38.1933,15.5497,65.91,71,40,8.05
157,Buala,SB,2022-05-01 11:31:02,-8.145,159.5921,80.38,80,100,4.25
158,Barrow,US,2022-05-01 11:31:03,71.2906,-156.7887,21.22,93,100,11.5
159,Arraial Do Cabo,BR,2022-05-01 11:26:44,-22.9661,-42.0278,75.06,94,0,4.61
160,Nanyamba,TZ,2022-05-01 11:31:04,-10.6833,39.8333,82.4,56,2,9.06
161,Ancud,CL,2022-05-01 11:27:08,-41.8697,-73.8203,49.57,91,100,2.64
162,Codrington,AU,2022-05-01 11:31:06,-38.2667,141.9667,58.75,80,90,10.09
163,Nishihara,JP,2022-05-01 11:31:07,26.1842,127.7558,69.46,78,100,16.11
164,Haines Junction,CA,2022-05-01 11:31:09,60.7522,-137.5108,30.15,74,100,1.14
165,Progreso,MX,2022-05-01 11:31:10,21.2833,-89.6667,73.51,91,2,9.69
166,Acajutla,SV,2022-05-01 11:27:31,13.5928,-89.8275,78.91,79,100,4.9
167,Saint George,US,2022-05-01 11:31:11,37.1041,-113.5841,63.95,26,0,9.22
168,Husavik,IS,2022-05-01 11:31:12,66.0449,-17.3389,29.62,79,100,15.21
169,Jarinu,BR,2022-05-01 11:27:19,-23.1014,-46.7283,67.35,75,62,3.74
170,Elliot Lake,CA,2022-05-01 11:31:14,46.3834,-82.6331,43.03,60,99,15.03
171,Bengkulu,ID,2022-05-01 11:27:36,-3.8004,102.2655,80.94,78,95,4.38
172,Pochutla,MX,2022-05-01 11:31:16,15.7432,-96.4661,76.82,70,99,2.68
173,College,US,2022-05-01 11:31:17,64.8569,-147.8028,37.38,65,40,9.22
174,Kachiry,KZ,2022-05-01 11:31:18,53.0675,76.1036,74.14,34,100,8.05
175,Hambantota,LK,2022-05-01 11:31:19,6.1241,81.1185,86.34,84,40,9.22
176,Norman Wells,CA,2022-05-01 11:31:20,65.282,-126.8329,39.24,52,20,8.05
177,Leningradskiy,RU,2022-05-01 11:31:21,69.3833,178.4167,-1.68,95,57,5.08
